Ticker,MeanReAnn,std,Sharpe Ratio,beta,cluster,Risk Cluster
SPY,0.09653686994626942,0.19093276560046574,0.4149988070254828,1.0087734400328012,0,Moderat/High Risk - Slightly Above Market Volatility
IVV,0.09697137290655244,0.1918758155935818,0.415223631285075,1.011734020169348,0,Moderat/High Risk - Slightly Above Market Volatility
VTI,0.08872163420781454,0.1956596434423481,0.36502997220711597,1.0329112470159758,0,Moderat/High Risk - Slightly Above Market Volatility
VOO,0.09712648983208605,0.1911468859626686,0.4176185734340257,1.0077281610496407,0,Moderat/High Risk - Slightly Above Market Volatility
QQQ,0.19409982256452252,0.20292779735590516,0.871244969236235,1.001135561385014,0,Moderat/High Risk - Slightly Above Market Volatility
VEA,0.013558654892424027,0.17744280411246602,-0.02108479476690782,0.9222036333185628,1,Moderat Risk - Slighty Below Market Volatility
IEFA,0.015394975237130515,0.1776899757056524,-0.0107210592792539,0.9189125076142278,1,Moderat Risk - Slighty Below Market Volatility
VWO,0.013635817588965704,0.1821770043902578,-0.020113309159398185,0.8140871366271824,1,Moderat Risk - Slighty Below Market Volatility
VUG,0.14288864157131598,0.19841756890579978,0.6329512162853891,1.0194979213730035,0,Moderat/High Risk - Slightly Above Market Volatility
IEMG,0.016728686081185717,0.18828576686330664,-0.003034291589491464,0.8481889518917375,1,Moderat Risk - Slighty Below Market Volatility
IWF,0.15187690672025833,0.1986759419736932,0.6773689123269778,1.0216611758717689,0,Moderat/High Risk - Slightly Above Market Volatility
VTV,0.055210429287793295,0.1933903505493967,0.19603061466145918,1.0114787617064562,0,Moderat/High Risk - Slightly Above Market Volatility
IWM,0.01657793573604338,0.23681369761662324,-0.003049081498341221,1.1810096551431892,1,Moderat Risk - Slighty Below Market Volatility
IJR,0.004071543627796492,0.2383431756543226,-0.055501720726374805,1.173583978016714,1,Moderat Risk - Slighty Below Market Volatility
IJH,0.014578805086373547,0.2251001356031872,-0.012088819521741427,1.1623236600336975,1,Moderat Risk - Slighty Below Market Volatility
EFA,0.013656380443471727,0.17553468056029173,-0.02075726315106593,0.90832718159117,1,Moderat Risk - Slighty Below Market Volatility
VIG,0.10037512551538108,0.1776962377915362,0.46751201121568153,0.9155652844852169,0,Moderat/High Risk - Slightly Above Market Volatility
IWD,0.029019774073933524,0.1961174308946136,0.059758961865206704,1.0295705538389088,1,Moderat Risk - Slighty Below Market Volatility
VGT,0.22792554561795764,0.21399028487503885,0.9842762055340686,1.052679259779286,0,Moderat/High Risk - Slightly Above Market Volatility
VO,0.04991702631139172,0.21607022880813806,0.15095567071553562,1.131008528227835,1,Moderat Risk - Slighty Below Market Volatility
VXUS,0.013902945842892755,0.17216460852874224,-0.019731431367557277,0.892357257977335,1,Moderat Risk - Slighty Below Market Volatility
XLK,0.21076420788538774,0.20921127316039773,0.9247312774444183,1.0246360002919208,0,Moderat/High Risk - Slightly Above Market Volatility
VB,0.02286427386140688,0.2300069915279966,0.02419175966974723,1.179981215975624,1,Moderat Risk - Slighty Below Market Volatility
USMV,0.08453144435951576,0.18392996676961298,0.3655274099175396,0.9143394864123155,0,Moderat/High Risk - Slightly Above Market Volatility
IVW,0.134157472624854,0.19111939476680387,0.6114370169884576,0.9839641438353165,0,Moderat/High Risk - Slightly Above Market Volatility
ITOT,0.08813176599208883,0.19751920073940268,0.35860698973534655,1.0426072956961705,0,Moderat/High Risk - Slightly Above Market Volatility
VYM,0.04531541393281757,0.18102089353586864,0.154763427500519,0.9428779481611783,1,Moderat Risk - Slighty Below Market Volatility
VEU,0.016859428483712913,0.17131477898986383,-0.002571707583460467,0.8887395132183883,1,Moderat Risk - Slighty Below Market Volatility
EEM,0.017475553222003892,0.19196959634936778,0.0009144845087052298,0.854804840835087,1,Moderat Risk - Slighty Below Market Volatility
IWB,0.09257978317280058,0.19513712973330127,0.3857788790666713,1.0298838440862923,0,Moderat/High Risk - Slightly Above Market Volatility
SCHX,0.09647623960319995,0.19327196882742861,0.40966230169619655,1.0194692290386846,0,Moderat/High Risk - Slightly Above Market Volatility
XLV,0.10135654436910735,0.1992158406622855,0.42193705123881997,0.9390257669077016,0,Moderat/High Risk - Slightly Above Market Volatility
IXUS,0.015111338356439408,0.1742454231414867,-0.012560798465182101,0.8981494723830713,1,Moderat Risk - Slighty Below Market Volatility
IWR,0.04018033404220911,0.21904070559411992,0.1044569956992657,1.1456615424934493,1,Moderat Risk - Slighty Below Market Volatility
XLF,0.05494483913336845,0.2381057426083521,0.15810134909382895,1.1434684483960023,0,Moderat/High Risk - Slightly Above Market Volatility
DIA,0.09693135240963002,0.20563394479915975,0.38724809022851275,1.07248857559492,0,Moderat/High Risk - Slightly Above Market Volatility
SCHF,0.014878239008131677,0.1755758272752935,-0.013793248361410996,0.9127097719232613,1,Moderat Risk - Slighty Below Market Volatility
QUAL,0.09457398014108054,0.1890345768633542,0.40878225255551487,0.9851625636812894,0,Moderat/High Risk - Slightly Above Market Volatility
VV,0.09865980472891622,0.19266566616542624,0.42228491639532295,1.0163316137374458,0,Moderat/High Risk - Slightly Above Market Volatility
IVE,0.049758775108029285,0.1958452244576982,0.1657368730736667,1.0256463246886147,1,Moderat Risk - Slighty Below Market Volatility
XLY,0.10660651351044725,0.22301179689891937,0.40045645455664236,1.1164578326240122,0,Moderat/High Risk - Slightly Above Market Volatility
SCHB,0.08841090341774294,0.19748491476013214,0.3600827106420519,1.0429737356826192,0,Moderat/High Risk - Slightly Above Market Volatility
RSP,0.04353474851005079,0.20782933229101516,0.12623217435600148,1.0979033249983619,1,Moderat Risk - Slighty Below Market Volatility
VBR,-0.023631659597378785,0.23654245092808981,-0.17304149608994382,1.2031013325131399,1,Moderat Risk - Slighty Below Market Volatility
MDY,0.012476246783080791,0.22520900566825397,-0.021419006769315782,1.162398298064175,1,Moderat Risk - Slighty Below Market Volatility
ARKK,0.31105090977402505,0.33238816856561937,0.883758621859711,1.4977313982684943,0,Moderat/High Risk - Slightly Above Market Volatility
SDY,0.03252911860718122,0.18196085126012612,0.083694478794288,0.9294638995715736,1,Moderat Risk - Slighty Below Market Volatility
VT,0.05418586506006262,0.17978447865615413,0.20516712752833627,0.9652380170399851,0,Moderat/High Risk - Slightly Above Market Volatility
GDX,0.03514993458322113,0.37643101896514186,0.04741887273873694,0.6882421426807958,1,Moderat Risk - Slighty Below Market Volatility
SCHD,0.07451108121753625,0.18265288336054875,0.31322298430189077,0.9449745125732832,0,Moderat/High Risk - Slightly Above Market Volatility
XLI,0.037975876723685964,0.22761808202469117,0.09083582701238613,1.1578741489742157,1,Moderat Risk - Slighty Below Market Volatility
IWP,0.10465740388025546,0.21860322933756132,0.3996162551897185,1.1202097494793464,0,Moderat/High Risk - Slightly Above Market Volatility
DGRO,0.09094019021075783,0.18815058562625064,0.3913896412580903,0.9868174690590819,0,Moderat/High Risk - Slightly Above Market Volatility
VGK,0.010811449214765512,0.1942114478252931,-0.03340972356619985,0.9908523264258484,1,Moderat Risk - Slighty Below Market Volatility
DVY,0.004992018799289344,0.20251041801587097,-0.060777027282349814,1.0300308641318636,1,Moderat Risk - Slighty Below Market Volatility
VBK,0.07826030857354649,0.229497092777213,0.265625624428822,1.1632048293091362,0,Moderat/High Risk - Slightly Above Market Volatility
ACWI,0.05932329827490146,0.18137445535937954,0.23169358767548345,0.9754696880472156,0,Moderat/High Risk - Slightly Above Market Volatility
VXF,0.041201298173018985,0.2345068989909384,0.10192151393355194,1.2044418043310183,1,Moderat Risk - Slighty Below Market Volatility
EWJ,0.031652056493435055,0.1647638286121758,0.08710684022290593,0.7543801652719286,1,Moderat Risk - Slighty Below Market Volatility
XLP,0.04829094331917805,0.16292501710929044,0.19021598934919404,0.6757715989389251,1,Moderat Risk - Slighty Below Market Volatility
SCHG,0.15078151706200082,0.20146305534246883,0.6625607699391554,1.04286983664528,0,Moderat/High Risk - Slightly Above Market Volatility
XLE,-0.12839662979898958,0.2779458082305681,-0.5241907792260279,1.2552252965736868,2,High Risk - Double Market Volatile
MTUM,0.13139819511614448,0.21516500454672027,0.5302823075551282,1.0812419211173436,0,Moderat/High Risk - Slightly Above Market Volatility
VHT,0.10841795199854998,0.2053559249949461,0.4437074411210314,0.9854749392376602,0,Moderat/High Risk - Slightly Above Market Volatility
SCHA,0.008757727764458378,0.2366590018473802,-0.036095277039368545,1.2015587292094163,1,Moderat Risk - Slighty Below Market Volatility
XLU,0.06690831058164592,0.2267583732909698,0.21877168133495992,0.8607425620253796,0,Moderat/High Risk - Slightly Above Market Volatility
IWO,0.058780214709437395,0.2435297938525461,0.1703291168330438,1.2050333718044235,0,Moderat/High Risk - Slightly Above Market Volatility
IWN,-0.029151047484646808,0.2376115755367247,-0.19549151753117108,1.166022170055796,1,Moderat Risk - Slighty Below Market Volatility
IWS,-0.006034843560916103,0.22379016103896046,-0.1042710879360494,1.1620140734802618,1,Moderat Risk - Slighty Below Market Volatility
GSLC,0.09445866943112757,0.1933176505673848,0.39912894246680464,1.014846791863828,0,Moderat/High Risk - Slightly Above Market Volatility
FDN,0.18265973988815665,0.22664352740231827,0.7296027457012886,1.0440749256601436,0,Moderat/High Risk - Slightly Above Market Volatility
SCZ,0.009440971117621322,0.20250317018421868,-0.038809411601948056,1.0306348176026752,1,Moderat Risk - Slighty Below Market Volatility
VOE,0.008455205112973374,0.22477951393436496,-0.039348758844675154,1.1688854319733788,1,Moderat Risk - Slighty Below Market Volatility
EFAV,0.017249484893514966,0.14398278629155845,-0.00035084129003270457,0.6948070420821522,1,Moderat Risk - Slighty Below Market Volatility
IWV,0.08675816543600878,0.1952213034451709,0.3557919356660608,1.0294109076534919,0,Moderat/High Risk - Slightly Above Market Volatility
IUSG,0.13045914178566687,0.19501093276593215,0.5802707580579064,1.009948143746245,0,Moderat/High Risk - Slightly Above Market Volatility
IBB,0.07811902011791116,0.26191458094700476,0.23220937107818812,1.027419846953624,0,Moderat/High Risk - Slightly Above Market Volatility
